"Title";"Saga";"Genre";"Synopsis"
"Wizards & Warriors III - Kuros - Visions of Power";"Wizards & Warriors";"platforms";"The evil wizard Malkil was not actually vanquished at the end of the previous game. In fact, after the mighty battle with the hero Kuros, Malkil retreated to a nearby self-contained castle kingdom and conducted a hostile takeover. Kuros comes on the scene and must attempt to relieve Malkil of his ill-gotten command of the kingdom, its subjects, and especially its princesses."
"Dune II - Battle for Arrakis";"Dune";"strategy";"The planet Arrakis (also known as Dune for its sandy landscape) is the only place in the known universe where Melange (more commonly known as the Spice) can be found. The Spice is the basis of interstellar travel and thus the standard of the Imperial economy. To increase productivity, The Padishah Emperor has invited three powerful Houses (Harkonnen, Atreides and Ordos) to compete against one another economically and bring up spice production. Competition among these houses begins peacefully but soon turns ugly as they battle each other with armed troops, advanced weaponry, and spies. The planet itself is also hostile, with dangerous sandworms inhabiting the spice fields."
"Hagane";"";"action";"The Fuma clan protects the Holy Grail which is said to possess the power to destroy the world. When the Koma clan attacks and steals the Holy Grail, only one ninja survives. Transformed into a cyborg, it is his task to retrieve the Holy Grail and save the world."
"Bermuda Triangle";"";"shooter";"The SYD mission was successful, but the current era was only one place under attack. The invaders also traveled back in time, hoping to rewrite history. Only the six experimental space-time battleships known as ZIG could stop them, but they were attacked upon taking off. Now trapped in the past, they have no way to return to the present."
"Spider-Man 2 - Enter Electro";"";"action";"Spider-Man is out to save New York City (and in the process the world) once again. This time it is Electro that is out to take Earth, and the galaxy itself, for his own. As you fight your way towards the final battle with Electro, you will come across a range of enemies, objectives and bosses. Climb buildings, save hostages, disarm bombs, all while avoiding hidden traps and enemies."
"Terminator 2 - Judgment Day";"Terminator";"shooter";""
"Spider-Man";"";"action";"Peter Parker is attending a demonstration of the reformed Dr. Otto Octavius's new invention when an imposter Spider-Man steals the device. Spider-Man must work to clear his name and uncover the sinister motives behind the device's theft."
"Sorcerer's Kingdom";"";"role play";"In one kingdom, adventuring is a noble art - adventurers are held in high honor and are made rich by the lineage of kings. But evil forces around the kingdom make adventuring also very dangerous. You are an adventurer who must take up the mission of his father, another adventurer who set out to destroy the evil and went missing. "
"Viewpoint";"";"shooter";""
"Star Wars - Episode I - Jedi Power Battles";"";"action";"Choose your jedi and fight the forces of the Trade Federation through the planet Naboo, facing plenty of droids and Darth Maul himself."
"Super Kick Off";"Kick Off";"sports";""
"Turok - Rage Wars";"Turok";"shooter";"Instead of the usual Turok single player missions, you must control your character and complete certain missions (from getting the most frags in a time limit, finding an item, or lasting the distance). Before a match you also get to choose which weapons to use, and you can unlock heaps of more weapons and character skins as you complete the objectives., , Multiplayer is the main aim of this game, and there are plenty of 4 player game modes to choose from (frag and tag, capture the flag, Bloodlust, etc.) as well as a 2 player co-op Trial mode (much like the single player missions) time trials and frag fests."
"Bakumatsu Kourinden Oni";"";"role play";"You control Yamatomaru, a strong-willed sixteen-year-old boy who lives in Iida village, near Koufu. His father has recently passed away. After failing to defeat a monster in his village, he was saved by one of the Shadow Shinsengumi man, Mibu Juurota. As he receives his father's katana, he goes on his first mission - rescuing boys who were trapped in a mountain path. Soon the plot thickens and the young hero becomes involved in mystical struggles between the forces who try to control reiketsu..."
"Star Wars - Masters of Teras Kasi";"";"vs. fighting";"Shortly after the Battle of Yavin, the Emperor employs the services of a deadly young woman named Arden Lyn, master of the ancient martial art of Teras Kasi, to eliminate the key heroes of the Rebellion. Learning of the threat, Luke Skywalker and crew face her directly in a number of locales from the various worlds visited in the original trilogy. "
